pm25,pm10,co,no2,so2,aqi_reference,datetime,city,latitude,longitude
146.7,212.3,2.849,87.2,99.1,185,2024-01-01 00:00:00,Delhi,28.6139,77.209
130.4,188.6,2.523,76.9,74.0,184,2024-01-01 01:00:00,Delhi,28.6139,77.209
117.8,170.4,2.215,67.0,53.6,183,2024-01-01 02:00:00,Delhi,28.6139,77.209
107.8,156.0,1.932,56.9,42.1,182,2024-01-01 03:00:00,Delhi,28.6139,77.209
100.1,144.8,1.666,47.3,35.3,181,2024-01-01 04:00:00,Delhi,28.6139,77.209
88.9,128.1,1.315,35.6,28.1,180,2024-01-01 05:00:00,Delhi,28.6139,77.209
87.8,126.2,1.393,36.3,31.0,180,2024-01-01 06:00:00,Delhi,28.6139,77.209
91.5,131.8,1.497,37.1,35.0,179,2024-01-01 07:00:00,Delhi,28.6139,77.209
93.1,134.1,1.548,37.3,37.8,178,2024-01-01 08:00:00,Delhi,28.6139,77.209
95.2,136.9,1.514,36.7,37.4,178,2024-01-01 09:00:00,Delhi,28.6139,77.209
91.7,131.8,1.427,35.5,35.8,177,2024-01-01 10:00:00,Delhi,28.6139,77.209
87.3,125.7,1.304,33.2,37.2,177,2024-01-01 11:00:00,Delhi,28.6139,77.209
75.7,109.9,1.104,27.6,45.4,176,2024-01-01 12:00:00,Delhi,28.6139,77.209
62.9,92.0,0.867,21.0,56.5,176,2024-01-01 13:00:00,Delhi,28.6139,77.209
57.5,85.0,0.73,19.7,63.8,176,2024-01-01 14:00:00,Delhi,28.6139,77.209
56.6,83.8,0.742,27.5,62.2,176,2024-01-01 15:00:00,Delhi,28.6139,77.209
57.4,85.0,0.854,40.6,56.7,176,2024-01-01 16:00:00,Delhi,28.6139,77.209
91.5,136.0,0.97,50.8,49.9,175,2024-01-01 17:00:00,Delhi,28.6139,77.209
104.3,153.7,1.223,58.1,57.6,176,2024-01-01 18:00:00,Delhi,28.6139,77.209
116.2,170.4,1.58,68.2,68.5,175,2024-01-01 19:00:00,Delhi,28.6139,77.209
129.9,189.5,1.9,76.1,77.9,175,2024-01-01 20:00:00,Delhi,28.6139,77.209
142.5,207.7,2.176,80.8,86.4,175,2024-01-01 21:00:00,Delhi,28.6139,77.209
153.2,222.6,2.415,83.3,93.5,175,2024-01-01 22:00:00,Delhi,28.6139,77.209
154.1,223.1,2.503,81.9,93.4,174,2024-01-01 23:00:00,Delhi,28.6139,77.209
141.6,204.9,2.339,74.3,80.6,174,2024-01-02 00:00:00,Delhi,28.6139,77.209
127.6,184.4,2.024,62.9,60.7,174,2024-01-02 01:00:00,Delhi,28.6139,77.209
114.8,165.8,1.747,52.4,44.5,174,2024-01-02 02:00:00,Delhi,28.6139,77.209
105.0,151.3,1.559,44.1,36.1,174,2024-01-02 03:00:00,Delhi,28.6139,77.209
97.6,140.6,1.41,36.9,31.3,174,2024-01-02 04:00:00,Delhi,28.6139,77.209
90.6,129.9,1.246,28.2,25.1,174,2024-01-02 05:00:00,Delhi,28.6139,77.209
79.4,114.6,1.2,26.3,26.4,174,2024-01-02 06:00:00,Delhi,28.6139,77.209
81.3,116.9,1.135,23.8,28.4,174,2024-01-02 07:00:00,Delhi,28.6139,77.209
77.8,112.5,1.077,21.9,31.1,174,2024-01-02 08:00:00,Delhi,28.6139,77.209
77.5,112.0,1.035,21.4,35.0,173,2024-01-02 09:00:00,Delhi,28.6139,77.209
75.7,110.1,0.999,21.5,39.6,173,2024-01-02 10:00:00,Delhi,28.6139,77.209
74.5,108.7,0.967,21.6,43.9,172,2024-01-02 11:00:00,Delhi,28.6139,77.209
74.0,108.3,0.924,20.0,47.8,172,2024-01-02 12:00:00,Delhi,28.6139,77.209
72.4,106.2,0.885,18.4,51.4,172,2024-01-02 13:00:00,Delhi,28.6139,77.209
71.2,105.0,0.896,20.9,53.8,172,2024-01-02 14:00:00,Delhi,28.6139,77.209
71.5,105.2,0.957,30.2,53.1,173,2024-01-02 15:00:00,Delhi,28.6139,77.209
72.4,106.4,1.069,43.5,51.2,173,2024-01-02 16:00:00,Delhi,28.6139,77.209
89.9,131.3,1.275,58.7,54.4,173,2024-01-02 17:00:00,Delhi,28.6139,77.209
120.1,174.2,1.762,73.5,70.2,173,2024-01-02 18:00:00,Delhi,28.6139,77.209
144.8,209.5,2.43,93.7,91.6,174,2024-01-02 19:00:00,Delhi,28.6139,77.209
158.3,229.1,2.899,106.5,104.6,174,2024-01-02 20:00:00,Delhi,28.6139,77.209
163.4,236.6,2.996,105.9,102.4,175,2024-01-02 21:00:00,Delhi,28.6139,77.209
161.6,233.3,2.895,97.8,91.7,175,2024-01-02 22:00:00,Delhi,28.6139,77.209
151.8,218.9,2.74,88.0,79.2,176,2024-01-02 23:00:00,Delhi,28.6139,77.209
140.2,201.2,2.542,76.9,65.1,176,2024-01-03 00:00:00,Delhi,28.6139,77.209
131.8,189.5,2.291,63.9,49.1,175,2024-01-03 01:00:00,Delhi,28.6139,77.209
126.7,181.6,2.098,53.0,37.1,176,2024-01-03 02:00:00,Delhi,28.6139,77.209
124.3,177.9,1.996,45.4,31.8,176,2024-01-03 03:00:00,Delhi,28.6139,77.209
124.8,179.3,1.952,39.9,30.5,176,2024-01-03 04:00:00,Delhi,28.6139,77.209
120.6,172.8,1.737,30.3,23.5,177,2024-01-03 05:00:00,Delhi,28.6139,77.209
119.7,171.4,1.752,31.2,25.7,178,2024-01-03 06:00:00,Delhi,28.6139,77.209
120.6,172.8,1.767,32.5,29.1,178,2024-01-03 07:00:00,Delhi,28.6139,77.209
121.5,174.6,1.747,33.2,33.7,179,2024-01-03 08:00:00,Delhi,28.6139,77.209
119.7,171.8,1.667,33.3,40.1,180,2024-01-03 09:00:00,Delhi,28.6139,77.209
122.5,176.0,1.552,32.8,47.8,181,2024-01-03 10:00:00,Delhi,28.6139,77.209
108.3,156.5,1.432,31.4,54.7,182,2024-01-03 11:00:00,Delhi,28.6139,77.209
89.4,131.8,1.285,26.6,60.5,183,2024-01-03 12:00:00,Delhi,28.6139,77.209
88.7,131.3,1.135,20.7,65.7,183,2024-01-03 13:00:00,Delhi,28.6139,77.209
88.0,131.3,1.081,20.9,69.2,184,2024-01-03 14:00:00,Delhi,28.6139,77.209
88.2,131.8,1.182,31.9,70.3,184,2024-01-03 15:00:00,Delhi,28.6139,77.209
89.6,134.1,1.38,48.9,69.7,184,2024-01-03 16:00:00,Delhi,28.6139,77.209
103.1,153.2,1.437,58.7,55.5,185,2024-01-03 17:00:00,Delhi,28.6139,77.209
124.3,183.5,1.646,65.9,57.9,185,2024-01-03 18:00:00,Delhi,28.6139,77.209
131.8,193.2,1.936,75.7,61.3,185,2024-01-03 19:00:00,Delhi,28.6139,77.209
